"Conversions","TVSpend","Facebook","Affiliate","Xmas.flag","Weekday","SEM.nonbrand","SEM.brand","Date"
129.740202431171,0,966.124158031191,878.116110185161,0,4,517499.778100392,28141.8606934529,"1/1/2015"
254.524742058013,18924.3736922836,1476.9990121502,1761.65204866068,0,5,724479.742879791,41007.3845301209,"1/2/2015"
174.817173716193,16640.9076082396,1111.65234489909,1556.04746299703,0,6,608372.372604639,34048.9195924766,"1/3/2015"
272.538759869034,91810.3989307063,1383.1496487245,1352.05547749759,0,0,739891.385574946,39898.638922357,"1/4/2015"
250.825850070198,33142.2692416837,1397.42226757563,1515.8831271888,0,1,799787.767956621,40652.7832102794,"1/5/2015"
219.864115117397,89730.8593315687,1383.83838443435,1425.19420018187,0,2,711212.003097239,42497.5489175574,"1/6/2015"
220.015806518495,40012.8350354612,1221.02540903015,1439.84284002893,0,3,709176.627894662,40556.3797668959,"1/7/2015"
185.374157014489,6419.39342422299,1423.56015780657,1238.56469161971,0,4,747222.193953537,36603.7278043851,"1/8/2015"
190.030186027521,15869.3240529704,1329.56475729244,1101.99403146589,0,5,749638.626613155,37928.7440672166,"1/9/2015"
173.037371965265,27560.0949843031,1280.34857244682,924.644062774791,0,6,750823.469541398,34405.1830716973,"1/10/2015"
285.719669006555,72057.7816536139,1597.4481525359,1043.81990999151,0,0,851329.847026374,48685.4297645379,"1/11/2015"
238.766825875035,63611.5006417181,1521.65476543622,1167.80058000034,0,1,745352.557833785,50538.7601725087,"1/12/2015"
251.142823471897,45763.595233573,1273.36164914817,1080.34128040285,0,2,664169.528491837,55818.0518970452,"1/13/2015"
172.520099058002,51480.3895763981,1350.76900630456,4072.1304593079,0,3,605128.177291753,56813.7077394267,"1/14/2015"
160.143246495212,19966.5672751098,1232.09296808764,3744.24351929151,0,4,615621.453660776,53474.6523858583,"1/15/2015"
124.563340361067,18542.532207597,1165.7496742096,2129.40421560335,0,5,588567.724706237,49452.5101996436,"1/16/2015"
152.056861276925,9629.22789093307,1247.49428975768,1193.15960508622,0,6,636511.126657224,36525.1827254891,"1/17/2015"
224.183250597515,126435.551795567,1742.15210741386,1391.36092178542,0,0,835747.524562408,67173.6034990995,"1/18/2015"
165.298309044959,64319.7692704347,1623.46652530972,1334.85344959768,0,1,851107.330220402,71099.3080655707,"1/19/2015"
183.348047986161,61081.1320042495,1561.72217113315,1618.67524753744,0,2,795553.728335391,61488.2711214151,"1/20/2015"
167.897854277398,63418.835667607,1510.56580820037,2028.87171875676,0,3,719764.20032136,59534.269016856,"1/21/2015"
149.958738179598,31464.6257406644,1270.49595790585,2048.7991073468,0,4,691420.413214899,54751.9135547621,"1/22/2015"
116.887489558919,41029.5491642493,1149.98000441468,2282.947177399,0,5,627029.272677725,43217.1332934962,"1/23/2015"
130.009429682745,49120.916051955,1030.46072860141,1217.42829643046,0,6,590946.918164344,40916.5099824832,"1/24/2015"
228.630736366357,89567.0456234914,1502.95637668599,1301.90993087157,0,0,723006.481514928,58989.8143613774,"1/25/2015"
207.828244930878,96157.6210865636,1252.50480685127,8346.48018602463,0,1,653847.0568514,61494.765263524,"1/26/2015"
212.979362406442,102260.658610075,1281.30957180937,2936.18066984254,0,2,721859.789010804,54920.3436640267,"1/27/2015"
176.651352771884,0,1247.14836929748,1538.71388861642,0,3,728057.800894686,46151.1299101345,"1/28/2015"
167.326770745986,0,1298.23593922905,1321.18463137276,0,4,818824.823600253,37654.5236019771,"1/29/2015"
151.027588681318,0,1121.081148308,978.086979265767,0,5,739610.060718553,34762.2616651839,"1/30/2015"
129.204830348678,0,1120.96402044129,869.632146185916,0,6,639657.678450639,31345.8735929894,"1/31/2015"
227.302974674688,65949.4097811035,1499.39100093842,1614.99769576604,0,0,922430.858057659,40819.4570645476,"2/1/2015"
227.595258243941,37010.2047928278,1312.4325004261,1188.69365571355,0,1,893241.610362584,40111.4099583199,"2/2/2015"
174.031308521912,63881.3219070687,1178.63802061444,860.343847723491,0,2,710767.976437979,39446.0122261873,"2/3/2015"
167.833739351667,61571.0921071651,1079.27422788353,838.650628969027,0,3,668229.710839402,37142.914646021,"2/4/2015"
139.416323542362,15184.2577181995,1041.8131491082,773.617107407982,0,4,749513.337923161,28561.2188409567,"2/5/2015"
119.254026829056,9033.26214880676,903.246093355212,716.135462698294,0,5,568470.50454989,24582.5813605506,"2/6/2015"
108.39068722073,3258.24946161057,756.094240184291,687.365439306013,0,6,487164.97722749,20670.332196185,"2/7/2015"
177.729096447187,68110.1820933472,1115.88712148564,903.685880910745,0,0,811138.839900037,35922.2144272007,"2/8/2015"
145.600263576745,29235.5429542032,1090.8402445328,872.054929982033,0,1,692607.422738685,36228.1780691649,"2/9/2015"
156.227185648005,74304.9450239779,884.303013683576,893.485260277986,0,2,610517.447790877,26135.5774133438,"2/10/2015"
129.472101867618,53140.5617401265,850.70989054339,860.147197852773,0,3,607027.932692352,20573.1736356492,"2/11/2015"
126.726144647226,27065.167118463,874.552832316491,726.894968948769,0,4,489168.814440486,16192.8402652609,"2/12/2015"
110.376642127754,3487.36329038525,681.140620985767,603.568011251255,0,5,439642.540385463,16727.962303095,"2/13/2015"
93.4904796950519,3023.23502781536,626.139424847485,560.518694131309,0,6,371644.287699235,13771.5633182222,"2/14/2015"
148.156943207653,45790.4846944127,906.536367233237,2220.76509404881,0,0,534842.911625773,17327.6667627808,"2/15/2015"
178.715095032938,78654.9663578942,960.276140648057,1816.72578235273,0,1,554336.758611316,23753.003208462,"2/16/2015"
174.736250077793,70083.0769879469,983.594636279857,1075.84698881316,0,2,603321.710924786,24813.673332678,"2/17/2015"
157.654587835423,42760.1171487392,985.112915227376,923.84725166671,0,3,572071.285080817,21111.0175784435,"2/18/2015"
147.858695984795,21381.6421213809,1151.50290096353,842.285089265322,0,4,621761.489929372,23473.0872051154,"2/19/2015"
122.134188461374,386.308755509881,911.571381120011,627.877936429647,0,5,600614.619005125,17424.7847971587,"2/20/2015"
122.180620199069,5624.37534356033,843.670699635986,687.889212179044,0,6,539488.938890949,15079.509479065,"2/21/2015"
198.113125576847,18236.2857730008,1058.71602348313,744.979241080838,0,0,644345.517457399,20301.3447567884,"2/22/2015"
157.446808439912,82991.6580001696,1088.38301555661,848.671258577472,0,1,622602.042860724,24235.8588363603,"2/23/2015"
83.4345295840874,100166.691296507,446.627194463136,868.271623169351,0,2,241009.718725941,10435.2249542301,"2/24/2015"
165.714210869372,68633.9106930621,821.463617951609,789.700739889778,0,3,507364.738631073,24141.047773802,"2/25/2015"
148.811417781492,69358.2965985476,667.056139428541,7654.37359439544,0,4,464018.561879819,21320.7194223959,"2/26/2015"
134.47671295437,63586.7099906236,617.560258076992,2307.06426950423,0,5,439326.190497384,21805.6642583862,"2/27/2015"
120.294679247309,36429.945646802,534.250862701307,1225.82552702611,0,6,373757.28558457,14904.1716922488,"2/28/2015"
263.307240093662,21762.9323622779,1066.83603670166,1283.86911042558,0,0,602490.340482455,21484.5533402344,"3/1/2015"
217.23150601387,45846.605682285,847.217310276255,1164.58817111002,0,1,586298.589485931,20572.0198200119,"3/2/2015"
191.362140462734,40571.6149859969,768.889722153987,1147.69952568635,0,2,561102.787855751,22070.6494114996,"3/3/2015"
190.027236547321,62153.2522276171,764.994179620408,944.617910483154,0,3,792825.889257679,24854.6740486891,"3/4/2015"
152.985458776401,4667.65340449573,726.555357056391,705.789712784649,0,4,716095.754983551,21481.1512859953,"3/5/2015"
109.854352593771,4077.00816049743,697.153446805431,457.389984022011,0,5,753654.263795876,20383.654241637,"3/6/2015"
96.9109479384497,9955.53775884658,562.399351322139,468.820094781369,0,6,692412.175772488,15318.786732024,"3/7/2015"
124.586795158731,15905.9457451518,741.162151296157,490.720918917842,0,0,762946.282555077,18424.7553100436,"3/8/2015"
150.025919740624,42764.1573551119,629.331727456441,606.097765977005,0,1,668203.97612843,22245.4707869861,"3/9/2015"
115.689748312999,23600.2578685535,710.554570329189,570.559406319726,0,2,834214.255991946,19904.166759018,"3/10/2015"
149.46745402657,17074.4050962319,699.131876748754,603.094491194794,0,3,719734.839809733,18797.6241492594,"3/11/2015"
109.763483777759,10712.3148813725,494.052190076932,602.97963392688,0,4,705205.091828501,23406.5782001435,"3/12/2015"
96.7423638740089,61544.7836259967,496.902055376768,529.225279688369,0,5,696358.808459006,21937.2330504439,"3/13/2015"
96.914073745138,5005.62433110501,454.648995114304,521.631047315616,0,6,707461.320709493,19751.5031170793,"3/14/2015"
188.953266648576,64739.8310964911,583.463241292699,718.508277821727,0,0,897749.670127634,26239.1944164142,"3/15/2015"
151.268017403944,64596.9294546912,527.590870594396,684.076517800521,0,1,719183.233987172,25740.3627400897,"3/16/2015"
144.615254687914,34441.9150341775,515.506905819359,580.160104755918,0,2,631779.413097494,23330.147060156,"3/17/2015"
111.701067888318,81016.1270635462,420.324048594385,532.666340057971,0,3,526037.549117265,22716.3612996111,"3/18/2015"
111.672686938732,1322.98607025295,492.292142650695,599.232654808531,0,4,572876.519386299,24239.1014971924,"3/19/2015"
